scope,model,seed,fold,image_count,class_coverage,source_group_count,accuracy,source_macro_accuracy,balanced_accuracy,macro_f1,cross_entropy_loss,test_loss
fold,DINOv2,89,7,389,6,1,0.46272493573264784,0.46272493573264784,0.7443230176217203,0.4518859065653705,1.5510363107108651,1.5510363107108651
fold,DINOv2,89,8,342,6,1,0.6783625730994152,0.6783625730994152,0.7212245575922797,0.5137899227199233,0.8411807308718618,0.8411807308718618
fold,DINOv2,89,9,238,7,1,0.9201680672268907,0.9201680672268907,0.9126262049230761,0.794902545879961,0.32225589341933975,0.32225589341933975
aggregate_oof,DINOv2,101,-1,5000,8,10,0.7514,0.7525569140968926,0.7514,0.748906723372545,0.680055877724257,0.680055877724257
fold,DINOv2,101,0,401,6,1,0.8977556109725686,0.8977556109725686,0.8966538182224456,0.5649419570039121,0.3703096713699746,0.3703096713699746
fold,DINOv2,101,1,284,6,1,0.8063380281690141,0.8063380281690141,0.6424015458766825,0.4156802450199595,0.42679832963152825,0.42679832963152825
fold,DINOv2,101,2,740,7,1,0.7337837837837838,0.7337837837837838,0.7897741935557062,0.5685713966099922,0.7047957689247948,0.7047957689247948
fold,DINOv2,101,3,381,6,1,0.7532808398950132,0.7532808398950132,0.721001037683433,0.5232248131823014,0.6658823913709062,0.6658823913709062
fold,DINOv2,101,4,661,7,1,0.7291981845688351,0.7291981845688351,0.746014801153828,0.6162147412894786,0.6025432378030192,0.6025432378030192
fold,DINOv2,101,5,1061,8,1,0.7945334590009425,0.7945334590009425,0.8029485375698915,0.6932528843042605,0.5905138871000893,0.5905138871000893
fold,DINOv2,101,6,503,7,1,0.7713717693836978,0.7713717693836978,0.7586188752608434,0.581396596990315,0.810355882590109,0.810355882590109
fold,DINOv2,101,7,389,6,1,0.45758354755784064,0.45758354755784064,0.7414986754496183,0.44919641674796973,1.4508966997946005,1.4508966997946005
fold,DINOv2,101,8,342,6,1,0.6783625730994152,0.6783625730994152,0.7155780518958387,0.5179679292187105,0.8593595251620731,0.8593595251620731
fold,DINOv2,101,9,238,7,1,0.9033613445378151,0.9033613445378151,0.8903422386759763,0.7820631401528579,0.271425745800688,0.271425745800688
aggregate_oof,DINOv2,131,-1,5000,8,10,0.752,0.7539056251129321,0.752,0.7499231801459003,0.6622011935985381,0.6622011935985381
fold,DINOv2,131,0,401,6,1,0.912718204488778,0.912718204488778,0.9130390760292721,0.5901585477358406,0.3474856271156035,0.3474856271156035
fold,DINOv2,131,1,284,6,1,0.7535211267605634,0.7535211267605634,0.6101291659319344,0.39862549695426314,0.5901554947722474,0.5901554947722474
fold,DINOv2,131,2,740,7,1,0.7148648648648649,0.7148648648648649,0.7784743948609495,0.5515649521299647,0.7209135349794018,0.7209135349794018
fold,DINOv2,131,3,381,6,1,0.8083989501312336,0.8083989501312336,0.761509502565611,0.5561040905031854,0.5074296175213356,0.5074296175213356
fold,DINOv2,131,4,661,7,1,0.7549167927382754,0.7549167927382754,0.7627319083873204,0.6325125239734364,0.567083206911135,0.567083206911135
fold,DINOv2,131,5,1061,8,1,0.7926484448633365,0.7926484448633365,0.8325491425729611,0.709500950791379,0.5797691831684311,0.5797691831684311
fold,DINOv2,131,6,503,7,1,0.7256461232604374,0.7256461232604374,0.7267190737377689,0.5164904638532546,0.8768894334725696,0.8768894334725696
fold,DINOv2,131,7,389,6,1,0.4832904884318766,0.4832904884318766,0.7439587532160051,0.4617232906706591,1.2489540908285337,1.2489540908285337
fold,DINOv2,131,8,342,6,1,0.6812865497076024,0.6812865497076024,0.7235028138079173,0.5193904156558955,0.843549869649844,0.843549869649844
fold,DINOv2,131,9,238,7,1,0.9117647058823529,0.9117647058823529,0.8877646813082175,0.7840458953873629,0.30194826027064975,0.30194826027064975
aggregate_oof,DINOv2,151,-1,5000,8,10,0.7486,0.7569689876633419,0.7485999999999999,0.7457285646491933,0.7075609495387531,0.7075609495387531
fold,DINOv2,151,0,401,6,1,0.912718204488778,0.912718204488778,0.890694653929948,0.5817139652149996,0.3546296649642152,0.3546296649642152
fold,DINOv2,151,1,284,6,1,0.8028169014084507,0.8028169014084507,0.6390241286075354,0.4601208088103478,0.4973643725786025,0.4973643725786025
fold,DINOv2,151,2,740,7,1,0.7621621621621621,0.7621621621621621,0.8161680472604843,0.6011728559765064,0.643894356963817,0.643894356963817
fold,DINOv2,151,3,381,6,1,0.7979002624671916,0.7979002624671916,0.7036361816517959,0.5144547122187101,0.5396830079276942,0.5396830079276942
fold,DINOv2,151,4,661,7,1,0.75642965204236,0.75642965204236,0.7727590398953358,0.6372990253739672,0.5610985042388067,0.5610985042388067
fold,DINOv2,151,5,1061,8,1,0.7238454288407163,0.7238454288407163,0.8000178378516474,0.6624603391880274,0.787690106179169,0.787690106179169
fold,DINOv2,151,6,503,7,1,0.7693836978131213,0.7693836978131213,0.7563190444717213,0.5859944017573125,0.8681772414251275,0.8681772414251275
fold,DINOv2,151,7,389,6,1,0.4601542416452442,0.4601542416452442,0.7339922795799185,0.451698355992923,1.4119229377775204,1.4119229377775204
fold,DINOv2,151,8,342,6,1,0.672514619883041,0.672514619883041,0.7119484114540541,0.510811421225291,0.8312009682242925,0.8312009682242925
fold,DINOv2,151,9,238,7,1,0.9117647058823529,0.9117647058823529,0.9086669981503841,0.7930182640094021,0.40091806610993264,0.40091806610993264
aggregate_oof,DINOv2,181,-1,5000,8,10,0.7684,0.7669588742220951,0.7684,0.7682486656509173,0.6286350098772878,0.6286350098772878
fold,DINOv2,181,0,401,6,1,0.9201995012468828,0.9201995012468828,0.9236460253617116,0.6174670925280681,0.32988486277443674,0.32988486277443674
fold,DINOv2,181,1,284,6,1,0.7852112676056338,0.7852112676056338,0.6206111502968318,0.44166412380122055,0.5207054007596261,0.5207054007596261
fold,DINOv2,181,2,740,7,1,0.7608108108108108,0.7608108108108108,0.8161095472019841,0.5948563391461776,0.6580767354349094,0.6580767354349094
fold,DINOv2,181,3,381,6,1,0.8110236220472441,0.8110236220472441,0.7644073901580765,0.5595086695120983,0.49329851768917327,0.49329851768917327
fold,DINOv2,181,4,661,7,1,0.7503782148260212,0.7503782148260212,0.7704640926214908,0.6397762448445332,0.5762265074497713,0.5762265074497713
fold,DINOv2,181,5,1061,8,1,0.824693685202639,0.824693685202639,0.8374042773194538,0.7423202319947508,0.4536053945972281,0.4536053945972281
fold,DINOv2,181,6,503,7,1,0.7395626242544732,0.7395626242544732,0.7340992985549685,0.5341989140090186,0.8640813452410112,0.8640813452410112
fold,DINOv2,181,7,389,6,1,0.4652956298200514,0.4652956298200514,0.7357471030354431,0.45175451768322605,1.4187693424502963,1.4187693424502963
fold,DINOv2,181,8,342,6,1,0.6754385964912281,0.6754385964912281,0.7102017078098172,0.5159516901538179,0.8263593692108904,0.8263593692108904
fold,DINOv2,181,9,238,7,1,0.9369747899159664,0.9369747899159664,0.9203712282004789,0.8105731738068694,0.23855977271122847,0.23855977271122847
aggregate_oof,ResNet18,11,-1,5000,8,10,0.824,0.8136255564003246,0.8240000000000001,0.8258218910009395,0.6516773868575874,0.6516773868575874
fold,ResNet18,11,0,401,6,1,0.885286783042394,0.885286783042394,0.6984543461259148,0.5176838673666184,0.3365920626229515,0.3365920626229515
fold,ResNet18,11,1,284,6,1,0.795774647887324,0.795774647887324,0.5740330188679245,0.37488904694478997,0.638445867194668,0.638445867194668
fold,ResNet18,11,2,740,7,1,0.7837837837837838,0.7837837837837838,0.7115145434473166,0.5948084889159053,0.9637572216609143,0.9637572216609143
fold,ResNet18,11,3,381,6,1,0.8556430446194225,0.8556430446194225,0.8342634354130579,0.6066651066651066,0.5233820203237268,0.5233820203237268
fold,ResNet18,11,4,661,7,1,0.8456883509833586,0.8456883509833586,0.8550423818981415,0.6975379357884863,0.5534776240791743,0.5534776240791743
fold,ResNet18,11,5,1061,8,1,0.9236569274269557,0.9236569274269557,0.923802289948912,0.8711527154386309,0.2903615985826005,0.2903615985826005
fold,ResNet18,11,6,503,7,1,0.7833001988071571,0.7833001988071571,0.7718089789541965,0.6503278676712221,0.979888268471995,0.979888268471995
fold,ResNet18,11,7,389,6,1,0.5269922879177378,0.5269922879177378,0.7785811148068148,0.47867402096535533,1.4603987426286005,1.4603987426286005
fold,ResNet18,11,8,342,6,1,0.7865497076023392,0.7865497076023392,0.8129313139449962,0.6026094714642823,0.7240011352940937,0.7240011352940937
fold,ResNet18,11,9,238,7,1,0.9495798319327731,0.9495798319327731,0.9257504468564377,0.8222333564420989,0.19746358535058545,0.19746358535058545
aggregate_oof,ResNet18,23,-1,5000,8,10,0.8148,0.8094942370786524,0.8148,0.81562942017283,0.8617517246871641,0.8617517246871641
fold,ResNet18,23,0,401,6,1,0.9276807980049875,0.9276807980049875,0.7499546114742194,0.5553406441170823,0.21530168008560752,0.21530168008560752
fold,ResNet18,23,1,284,6,1,0.7887323943661971,0.7887323943661971,0.6169298477634749,0.4040936809761977,0.5423929642506236,0.5423929642506236
fold,ResNet18,23,2,740,7,1,0.7743243243243243,0.7743243243243243,0.689367101972144,0.5768429477829452,0.7110463479993255,0.7110463479993255
fold,ResNet18,23,3,381,6,1,0.8766404199475065,0.8766404199475065,0.895485396171738,0.6188408667685805,0.35326442512623285,0.35326442512623285
fold,ResNet18,23,4,661,7,1,0.8426626323751891,0.8426626323751891,0.8388394663282944,0.6833347628477267,0.6030612387018885,0.6030612387018885
fold,ResNet18,23,5,1061,8,1,0.882186616399623,0.882186616399623,0.9221616830172703,0.8749105684012687,0.38152043005434755,0.38152043005434755
fold,ResNet18,23,6,503,7,1,0.805168986083499,0.805168986083499,0.78729774851718,0.6420728525859478,1.2241873877343763,1.2241873877343763
fold,ResNet18,23,7,389,6,1,0.45758354755784064,0.45758354755784064,0.7541678261753001,0.4596840801851586,4.312543007290293,4.312543007290293
fold,ResNet18,23,8,342,6,1,0.7777777777777778,0.7777777777777778,0.8121594632605319,0.588207872365393,0.8133213292769353,0.8133213292769353
fold,ResNet18,23,9,238,7,1,0.9621848739495799,0.9621848739495799,0.9415391249007546,0.8328108287485216,0.13738222198773606,0.13738222198773606
aggregate_oof,ResNet18,41,-1,5000,8,10,0.8062,0.8064677043284239,0.8061999999999999,0.8078289436061802,0.7673121736978245,0.7673121736978245
fold,ResNet18,41,0,401,6,1,0.885286783042394,0.885286783042394,0.7024328249818446,0.4906304676023193,0.28747519986271125,0.28747519986271125
fold,ResNet18,41,1,284,6,1,0.8169014084507042,0.8169014084507042,0.5975697260918121,0.3794546277898734,0.47402390740016653,0.47402390740016653
fold,ResNet18,41,2,740,7,1,0.7905405405405406,0.7905405405405406,0.7194753690552009,0.6091880293073746,0.8451108347775782,0.8451108347775782
fold,ResNet18,41,3,381,6,1,0.889763779527559,0.889763779527559,0.8836105936311839,0.6347454311803784,0.28910846434188786,0.28910846434188786
fold,ResNet18,41,4,661,7,1,0.8456883509833586,0.8456883509833586,0.8597767019750636,0.706519103930934,0.4718431254991124,0.4718431254991124
fold,ResNet18,41,5,1061,8,1,0.8350612629594723,0.8350612629594723,0.8970084873501802,0.817130285089829,0.506421533626635,0.506421533626635
fold,ResNet18,41,6,503,7,1,0.7793240556660039,0.7793240556660039,0.7660074142016357,0.6260091710503582,1.3180669428590146,1.3180669428590146
fold,ResNet18,41,7,389,6,1,0.4730077120822622,0.4730077120822622,0.7704653896210023,0.4410282266623706,2.5866430550143904,2.5866430550143904
fold,ResNet18,41,8,342,6,1,0.7953216374269005,0.7953216374269005,0.8173987754757753,0.6037197813890006,0.8179846268744273,0.8179846268744273
fold,ResNet18,41,9,238,7,1,0.9537815126050421,0.9537815126050421,0.9333185735223086,0.8261161046650041,0.2226221210518971,0.2226221210518971
aggregate_oof,ResNet18,57,-1,5000,8,10,0.8348,0.8188051957423829,0.8348,0.8366741626344973,0.7347287225967001,0.7347287225967001
fold,ResNet18,57,0,401,6,1,0.9451371571072319,0.9451371571072319,0.9278413217138707,0.6019411495022514,0.1748932246558051,0.1748932246558051
fold,ResNet18,57,1,284,6,1,0.7922535211267606,0.7922535211267606,0.6666468288955505,0.4312697688831202,0.5976042393227876,0.5976042393227876
fold,ResNet18,57,2,740,7,1,0.8040540540540541,0.8040540540540541,0.7286416399861777,0.62008060782705,0.7744056585143555,0.7744056585143555
fold,ResNet18,57,3,381,6,1,0.8871391076115486,0.8871391076115486,0.845016123585101,0.6080571117335822,0.36111249019043523,0.36111249019043523
fold,ResNet18,57,4,661,7,1,0.8260211800302572,0.8260211800302572,0.8209873149855772,0.6623456255793795,0.5175508149963282,0.5175508149963282
fold,ResNet18,57,5,1061,8,1,0.9566446748350612,0.9566446748350612,0.9394570805297964,0.9075612224885343,0.1488344076041085,0.1488344076041085
fold,ResNet18,57,6,503,7,1,0.8151093439363817,0.8151093439363817,0.7971449068538617,0.6603289457824733,1.1775481950174276,1.1775481950174276
fold,ResNet18,57,7,389,6,1,0.48586118251928023,0.48586118251928023,0.7939593435113094,0.47513944821043863,3.2075907669618973,3.2075907669618973
fold,ResNet18,57,8,342,6,1,0.7514619883040936,0.7514619883040936,0.7774228595510929,0.5697987491514277,0.9384273345509915,0.9384273345509915
fold,ResNet18,57,9,238,7,1,0.9243697478991597,0.9243697478991597,0.8982197152655557,0.7970839238435494,0.2610575034737698,0.2610575034737698
aggregate_oof,ResNet18,73,-1,5000,8,10,0.8056,0.8013292319291567,0.8056000000000001,0.8063551382695915,0.8185472693451596,0.8185472693451596
fold,ResNet18,73,0,401,6,1,0.9226932668329177,0.9226932668329177,0.9140655549969275,0.5897817417677189,0.23262848300160294,0.23262848300160294
fold,ResNet18,73,1,284,6,1,0.8028169014084507,0.8028169014084507,0.5825047757597132,0.37748210241762753,0.5817949297057845,0.5817949297057845
fold,ResNet18,73,2,740,7,1,0.7662162162162162,0.7662162162162162,0.6987109415680843,0.5834004487313886,0.6731312619508436,0.6731312619508436
fold,ResNet18,73,3,381,6,1,0.8556430446194225,0.8556430446194225,0.7823002799838764,0.5779636576560223,0.391226842108929,0.391226842108929
fold,ResNet18,73,4,661,7,1,0.7851739788199698,0.7851739788199698,0.8031597271480587,0.6472928384187072,0.7673732281318325,0.7673732281318325
fold,ResNet18,73,5,1061,8,1,0.8916116870876531,0.8916116870876531,0.8596089906421991,0.7750673808868143,0.35491316270098483,0.35491316270098483
fold,ResNet18,73,6,503,7,1,0.7872763419483101,0.7872763419483101,0.7719436804343801,0.6301983300308048,1.3515028257336277,1.3515028257336277
fold,ResNet18,73,7,389,6,1,0.480719794344473,0.480719794344473,0.7777144809878732,0.4810969637175697,3.369572944870223,3.369572944870223
fold,ResNet18,73,8,342,6,1,0.7631578947368421,0.7631578947368421,0.7523990726252786,0.5734436351675805,0.7499859304297992,0.7499859304297992
fold,ResNet18,73,9,238,7,1,0.957983193277311,0.957983193277311,0.9446023384902842,0.8338589475805713,0.23607752013519825,0.23607752013519825
aggregate_oof,ResNet18,89,-1,5000,8,10,0.799,0.7992141927730876,0.7989999999999999,0.8002531423628438,0.789390033154065,0.789390033154065
fold,ResNet18,89,0,401,6,1,0.9052369077306733,0.9052369077306733,0.7239626976146584,0.5164541040236276,0.3163398873977814,0.3163398873977814
fold,ResNet18,89,1,284,6,1,0.7535211267605634,0.7535211267605634,0.6083439134779286,0.3605429373693089,0.9864286169427077,0.9864286169427077
fold,ResNet18,89,2,740,7,1,0.7635135135135135,0.7635135135135135,0.6895302176814783,0.5682896037423127,0.7622742425222507,0.7622742425222507
fold,ResNet18,89,3,381,6,1,0.8976377952755905,0.8976377952755905,0.8903310237387108,0.6409715203192281,0.26236623136551673,0.26236623136551673
fold,ResNet18,89,4,661,7,1,0.8245083207261724,0.8245083207261724,0.8320759642817736,0.6869314429226067,0.5805880383429494,0.5805880383429494
fold,ResNet18,89,5,1061,8,1,0.8369462770970783,0.8369462770970783,0.8896465089578719,0.8076117894189951,0.40917838269667184,0.40917838269667184
fold,ResNet18,89,6,503,7,1,0.7793240556660039,0.7793240556660039,0.7658719565456418,0.6418329094417284,1.6822285813058595,1.6822285813058595
fold,ResNet18,89,7,389,6,1,0.4781491002570694,0.4781491002570694,0.7711851804556838,0.4606685966944521,2.3327375430676445,2.3327375430676445
fold,ResNet18,89,8,342,6,1,0.7953216374269005,0.7953216374269005,0.8000074769599387,0.5961518488445312,0.7906436494748839,0.7906436494748839
fold,ResNet18,89,9,238,7,1,0.957983193277311,0.957983193277311,0.9413943184401588,0.8306316305126169,0.1428769073064226,0.1428769073064226
aggregate_oof,ResNet18,101,-1,5000,8,10,0.8222,0.8156919311947132,0.8222,0.8241535693000056,0.7807943827365167,0.7807943827365167
fold,ResNet18,101,0,401,6,1,0.940149625935162,0.940149625935162,0.9320079883805374,0.6020857161757937,0.2007274458024585,0.2007274458024585
fold,ResNet18,101,1,284,6,1,0.7746478873239436,0.7746478873239436,0.617748486451537,0.36854195332968914,0.9955712178778409,0.9955712178778409
fold,ResNet18,101,2,740,7,1,0.8121621621621622,0.8121621621621622,0.736122417214854,0.6204934258978312,0.7172592700088432,0.7172592700088432
fold,ResNet18,101,3,381,6,1,0.910761154855643,0.910761154855643,0.8997396258892484,0.646857437290346,0.29032091348063943,0.29032091348063943
fold,ResNet18,101,4,661,7,1,0.8048411497730711,0.8048411497730711,0.8066941134282246,0.6614570290328197,0.6345177636593107,0.6345177636593107
fold,ResNet18,101,5,1061,8,1,0.8982092365692743,0.8982092365692743,0.9019072718887176,0.8298917236683964,0.3930244204003456,0.3930244204003456
fold,ResNet18,101,6,503,7,1,0.7892644135188867,0.7892644135188867,0.70847086536351,0.6103841925602205,1.596168152304044,1.596168152304044
fold,ResNet18,101,7,389,6,1,0.4781491002570694,0.4781491002570694,0.7786652258642506,0.4600563754713478,2.3749038085734155,2.3749038085734155
fold,ResNet18,101,8,342,6,1,0.7865497076023392,0.7865497076023392,0.7965481889305918,0.5988926007271387,0.8025570757228305,0.8025570757228305
fold,ResNet18,101,9,238,7,1,0.9621848739495799,0.9621848739495799,0.9443238645275996,0.8348633223071005,0.25947067365987797,0.25947067365987797
aggregate_oof,ResNet18,131,-1,5000,8,10,0.822,0.8170799537581239,0.8220000000000001,0.8229566856754855,0.8034464102982818,0.8034464102982818
fold,ResNet18,131,0,401,6,1,0.9326683291770573,0.9326683291770573,0.9271514161220044,0.6067731076980654,0.2372843698564215,0.2372843698564215
fold,ResNet18,131,1,284,6,1,0.795774647887324,0.795774647887324,0.6592767295597485,0.43662470821877464,0.7270682258276037,0.7270682258276037
