model,true_class,class_name,attribution_occlusion_spearman_count,attribution_occlusion_spearman_mean,attribution_occlusion_spearman_std,top_minus_random_target_logit_auc_count,top_minus_random_target_logit_auc_mean,top_minus_random_target_logit_auc_std,top_minus_random_margin_auc_count,top_minus_random_margin_auc_mean,top_minus_random_margin_auc_std,top_5_target_logit_drop_count,top_5_target_logit_drop_mean,top_5_target_logit_drop_std,top_5_margin_drop_count,top_5_margin_drop_mean,top_5_margin_drop_std,top_10_target_logit_drop_count,top_10_target_logit_drop_mean,top_10_target_logit_drop_std,top_10_margin_drop_count,top_10_margin_drop_mean,top_10_margin_drop_std,top_20_target_logit_drop_count,top_20_target_logit_drop_mean,top_20_target_logit_drop_std,top_20_margin_drop_count,top_20_margin_drop_mean,top_20_margin_drop_std,top_30_target_logit_drop_count,top_30_target_logit_drop_mean,top_30_target_logit_drop_std,top_30_margin_drop_count,top_30_margin_drop_mean,top_30_margin_drop_std
ResNet18,2,03_COMPLEX,34,0.12193788618918582,0.21110932609580974,34,0.1686658139258404,0.6565654352197786,34,0.16727831904940743,1.1008281830285678,34,0.6400850892943495,0.6992729226936,34,0.35891390548032875,0.9916983394043177,34,1.0956105988691835,0.8409829331216734,34,0.5427180213086745,1.3469836636956465,34,1.910234354162479,0.9644981287933254,34,1.0423959598821753,1.7010845913867425,34,2.473342995433246,1.0974054998981564,34,1.4184519280405605,1.63670948566772
ResNet18,3,04_LYMPHO,34,0.12339408477575407,0.22376316872757898,34,-0.4684241318801308,0.5523166835989509,34,-0.6848836265285226,0.8231288675247612,34,0.16323266967254524,0.6476761996769935,34,0.01715662900139303,0.8923103328656199,34,0.5221849035690812,0.7982184803446207,34,0.29013703851138845,1.066927020267365,34,1.0244281125419281,1.1113452588197508,34,0.7953067001174478,1.4532224872574133,34,1.6212469124618698,0.8826382690917489,34,1.1443762849358952,1.7489274545142433
ResNet18,4,05_DEBRIS,33,0.05073658778803824,0.27176327485897567,34,1.0488765920402812,0.7089715637130228,34,1.25815203870811,1.2825624432378038,34,0.6785110927679959,1.1002391951993877,34,0.792634501176722,1.837544724645663,34,1.2879108738373308,1.1213978494187682,34,1.6723571384654325,2.0072103279814413,34,2.0678380228140774,1.5384542281566833,34,2.8295216525302216,2.899159918696777,34,2.8645047273705986,1.854335601904407,34,3.7924916358555065,3.4554518143439017
ResNet18,5,06_MUCOSA,34,0.1291043006046442,0.22676732978612185,34,1.0084096400286344,0.9216875865373215,34,1.271373952032916,1.2116469998536301,34,1.6020569748738234,1.352271659440931,34,2.0928838954252353,1.9751619324235963,34,2.692023133092067,1.6840596946088033,34,3.400174849173602,2.326927124253956,34,4.052764044965015,1.8795531849575624,34,4.901577719870736,2.826674638926206,34,5.134078687495169,1.9122647435003293,34,6.048466047819923,3.0232599976882395
ResNet18,6,07_ADIPOSE,34,0.0032859839489788978,0.24185137632063827,34,0.41859615327352107,0.8463272265243285,34,0.16303170740001766,1.244958383048406,34,-0.16286869040306876,1.1511744735679876,34,-0.21305084579131184,1.3599027867260995,34,0.038305219262838364,1.3124044736179075,34,0.08276244472054878,1.7126694143762387,34,0.6776239920188399,1.6459087806226285,34,0.934163906994988,2.6015299483796173,34,0.9389592884656262,1.931091024291131,34,1.232714288374957,3.046442568565667
ResNet18,7,08_EMPTY,34,-0.14470062942810336,0.2395605250529722,34,1.00792764625786,0.2980545167031127,34,0.1619716605883749,0.5133475129190208,34,0.4422409043592565,0.7330905935632838,34,0.3936285060994765,0.5364931219136033,34,0.7082541199291453,0.8182539047058955,34,0.7000368553049424,0.5337945208828708,34,1.1739089734414045,0.8997243986674106,34,1.274875935386209,0.5894261295177126,34,1.37379008882186,0.8280556859380734,34,1.4608088030534632,0.6511535717074043
UNI,0,01_TUMOR,34,0.16529201396089427,0.1789251309262045,34,-0.5869062696857488,0.2504476141073915,34,-0.649720617317978,0.39527101950288623,34,0.7316521500401637,0.3906677551449192,34,0.8497531729585984,0.6768368709745812,34,0.9622485786676407,0.4999879064219389,34,1.0987593777039473,0.8094866301976091,34,1.359958183239488,0.7638424539991647,34,1.4602292390430676,1.1457506268942297,34,1.8048769169870544,0.9156405787995421,34,1.9723131095661837,1.3447264550630205
UNI,1,02_STROMA,34,0.209081133429553,0.20464926759780147,34,-0.6972306888295433,0.3156933867715827,34,-0.8490352684303242,0.3977817590811654,34,0.7636566044872298,0.48781942627906566,34,0.7726188284509322,0.6660344780729857,34,1.1914476168287151,0.7097802988161886,34,1.3030353363822489,0.968660905854776,34,1.7028715572069975,0.9345920468681279,34,1.8729208707809448,1.3283846154069106,34,2.1907027547850326,1.1347578971956305,34,2.388099772088668,1.4876557023660697
UNI,2,03_COMPLEX,34,0.12266624728766946,0.1802841721164627,34,-0.654629863869837,0.3493598931044575,34,-0.8473181453697822,0.5219775445078849,34,0.6693851684822756,0.42246825418582373,34,0.6882194350747501,0.6932682958638454,34,0.9942278642864788,0.5526235655547409,34,1.0404803893145393,0.7927905282058733,34,1.588332614477943,0.8478875816827071,34,1.557508812231176,1.1794085057278085,34,2.143559731543064,1.0798536345035994,34,2.2210913405698887,1.4637656087824522
UNI,3,04_LYMPHO,34,0.1521904680754631,0.2369638087310411,34,-0.46299457696321256,0.2984712964102004,34,-0.4361886179622482,0.3385435406446083,34,0.5119345652706483,0.3963180450759082,34,0.3899265247232774,0.4292567045424442,34,0.814236540128203,0.6094138880329886,34,0.5983745350557215,0.6122552438042564,34,1.22773087386261,0.7981728223802433,34,0.8926022228072671,0.8276952682040154,34,1.4994820935980362,0.8967467031633803,34,1.1265399403431837,1.016556009403499
UNI,4,05_DEBRIS,34,0.16628694606688996,0.1414762229289743,34,-0.37934692438472717,0.32424684044898083,34,-0.47334486979114654,0.4701627772650782,34,0.7514322728795164,0.7232437151356002,34,0.9605381979661829,0.8665402109338755,34,0.9517366180525106,0.8932595649552186,34,1.1918965157340555,1.022170829602306,34,1.1968455292722757,1.0843605219637127,34,1.4267595235039205,1.4173225706801962,34,1.4710798390647943,1.1374773702830938,34,1.6627754972261541,1.6241750093036833
UNI,5,06_MUCOSA,34,0.2581597793839922,0.17901995939944568,34,-0.8876902949174538,0.5222701446348675,34,-1.1866088231258534,0.7192844012611338,34,0.8757614550345084,0.6942346605328528,34,1.2003002762794495,0.9416317220328531,34,1.2689987158074099,0.9696448464306967,34,1.7134762231041403,1.3271618890621433,34,1.997024441466612,1.2331234054858946,34,2.629725480780882,1.6664392374573955,34,2.446660440634279,1.4604243584275876,34,3.1842949004734264,1.988471641856928
UNI,6,07_ADIPOSE,34,0.060163660272608034,0.19283559935630867,34,-0.8410698035211467,0.6622827875972436,34,-1.6890230959664811,1.3580701632625432,34,0.7531973631942973,1.1246511955933611,34,1.294565672383589,1.9106731317194428,34,1.0177988716784645,1.3640661444017408,34,1.9787877237095552,2.6402366468903913,34,1.376661604818176,1.501567276294837,34,2.9060611146337845,2.9282392315892958,34,2.2328914307770047,1.8808121479511173,34,4.529300842215033,4.001666034434095
UNI,7,08_EMPTY,34,0.09087155743353402,0.24829130651945427,34,0.23649832120367248,0.7728658139595689,34,0.2612115857848788,0.9151703492740622,34,-0.8058435135137509,1.4788160749519463,34,-0.9350332170724869,1.8911416226354694,34,-0.9820235685500152,1.7817043842344353,34,-1.0457629999693703,2.2866567499025336,34,-0.9518632606657988,2.140208904626729,34,-0.9409042035832125,2.662673205108585,34,-0.8862669378628626,2.259135350047673,34,-0.8089943352867576,2.7050199362299074
