model,class_name,cohort_stratum,images,prediction_agreement,conditional_map_spearman,common_target_spearman
ResNet18,06_MUCOSA,correct_low_confidence,8,0.9222222222222223,0.8095804600254461,0.8083569976589022
ResNet18,06_MUCOSA,incorrect_any_model,10,0.9111111111111111,0.7598906876164351,0.7101044048915721
ResNet18,07_ADIPOSE,correct_high_confidence,16,1.0,0.7460896983249652,0.7460896983249652
ResNet18,07_ADIPOSE,correct_low_confidence,8,0.775,0.7656280172611538,0.6841860619386567
ResNet18,07_ADIPOSE,incorrect_any_model,10,0.828888888888889,0.7332844829588573,0.6395439391439017
ResNet18,08_EMPTY,correct_high_confidence,16,0.9,0.7994876072581838,0.7739783788043397
ResNet18,08_EMPTY,correct_low_confidence,8,0.8083333333333333,0.76322235741066,0.724487139340523
ResNet18,08_EMPTY,incorrect_any_model,10,0.7422222222222222,0.8314862838033552,0.7229418552632932
UNI,01_TUMOR,correct_high_confidence,16,1.0,0.9046052310029832,0.9046052310029832
UNI,01_TUMOR,correct_low_confidence,8,0.9555555555555556,0.9070194755969057,0.9065761452309677
UNI,01_TUMOR,incorrect_any_model,10,0.9333333333333333,0.9223540142075313,0.9184978231823774
UNI,02_STROMA,correct_high_confidence,16,0.9875,0.9495785968624076,0.9494787347452323
UNI,02_STROMA,correct_low_confidence,8,0.7027777777777777,0.9276713625634232,0.9302578313637052
UNI,02_STROMA,incorrect_any_model,10,0.8822222222222222,0.9214110828477311,0.9271337177849144
UNI,03_COMPLEX,correct_high_confidence,16,1.0,0.8971227602065167,0.8971227602065167
UNI,03_COMPLEX,correct_low_confidence,8,0.8833333333333333,0.8855473051287188,0.8835524313886002
UNI,03_COMPLEX,incorrect_any_model,10,0.9444444444444444,0.9244039406424445,0.9223901802814058
UNI,04_LYMPHO,correct_high_confidence,16,1.0,0.9013153432660322,0.9013153432660322
UNI,04_LYMPHO,correct_low_confidence,8,0.85,0.8867357772584128,0.8834935288706138
UNI,04_LYMPHO,incorrect_any_model,10,0.9444444444444444,0.8960517752941299,0.9014880170993298
UNI,05_DEBRIS,correct_high_confidence,16,1.0,0.9462897522669097,0.9462897522669097
UNI,05_DEBRIS,correct_low_confidence,8,0.8888888888888888,0.9441189423952153,0.9447949266912283
UNI,05_DEBRIS,incorrect_any_model,10,0.9444444444444444,0.9252222799580456,0.9224997427840067
UNI,06_MUCOSA,correct_high_confidence,16,1.0,0.8754762480288225,0.8754762480288225
UNI,06_MUCOSA,correct_low_confidence,8,1.0,0.8894693912968026,0.8894693912968026
UNI,06_MUCOSA,incorrect_any_model,10,0.9333333333333333,0.9242098240571772,0.9314874946985172
UNI,07_ADIPOSE,correct_high_confidence,16,1.0,0.9736819052754514,0.9736819052754514
UNI,07_ADIPOSE,correct_low_confidence,8,0.975,0.9614493147252393,0.961255771864909
UNI,07_ADIPOSE,incorrect_any_model,10,0.9644444444444444,0.9508760618880396,0.9471090958835701
UNI,08_EMPTY,correct_high_confidence,16,1.0,0.9598581814607922,0.9598581814607922
UNI,08_EMPTY,correct_low_confidence,8,0.7888888888888889,0.9591161148033418,0.9664115934021664
UNI,08_EMPTY,incorrect_any_model,10,0.788888888888889,0.9230177913109168,0.9641311916670873
