dataset,model,seed,fold,strategy,steps,tied_steps,archive_mismatches,affected_targets
kather,UNI,89,0,bottom,147,0,0,0
kather,UNI,89,0,random,147,0,0,0
kather,UNI,89,0,top,147,0,0,0
kather,UNI,89,1,bottom,91,0,0,0
kather,UNI,89,1,random,91,0,0,0
kather,UNI,89,1,top,91,0,0,0
kather,UNI,89,2,bottom,175,0,0,0
kather,UNI,89,2,random,175,0,0,0
kather,UNI,89,2,top,175,0,0,0
kather,UNI,89,3,bottom,154,0,0,0
kather,UNI,89,3,random,154,0,0,0
kather,UNI,89,3,top,154,0,0,0
kather,UNI,89,4,bottom,245,0,0,0
kather,UNI,89,4,random,245,0,0,0
kather,UNI,89,4,top,245,0,0,0
kather,UNI,89,5,bottom,294,0,0,0
kather,UNI,89,5,random,294,0,0,0
kather,UNI,89,5,top,294,0,0,0
kather,UNI,89,6,bottom,161,0,0,0
kather,UNI,89,6,random,161,0,0,0
kather,UNI,89,6,top,161,0,0,0
kather,UNI,89,7,bottom,133,0,0,0
kather,UNI,89,7,random,133,0,0,0
kather,UNI,89,7,top,133,0,0,0
kather,UNI,89,8,bottom,147,0,0,0
kather,UNI,89,8,random,147,0,0,0
kather,UNI,89,8,top,147,0,0,0
kather,UNI,89,9,bottom,336,0,0,0
kather,UNI,89,9,random,336,0,0,0
kather,UNI,89,9,top,336,0,0,0
crc,DINOv2,11,0,bottom,686,0,0,0
crc,DINOv2,11,0,random,686,0,0,0
crc,DINOv2,11,0,top,686,0,0,0
crc,DINOv2,181,0,bottom,686,0,0,0
crc,DINOv2,181,0,random,686,0,0,0
crc,DINOv2,181,0,top,686,0,0,0
crc,DINOv2,89,0,bottom,686,0,0,0
crc,DINOv2,89,0,random,686,0,0,0
crc,DINOv2,89,0,top,686,0,0,0
crc,ResNet18,11,0,bottom,686,23,23,9
crc,ResNet18,11,0,random,686,0,0,0
crc,ResNet18,11,0,top,686,0,0,0
crc,ResNet18,181,0,bottom,686,28,27,8
crc,ResNet18,181,0,random,686,0,0,0
crc,ResNet18,181,0,top,686,9,9,2
crc,ResNet18,89,0,bottom,686,61,60,23
crc,ResNet18,89,0,random,686,0,0,0
crc,ResNet18,89,0,top,686,6,6,2
crc,UNI,11,0,bottom,686,0,0,0
crc,UNI,11,0,random,686,0,0,0
crc,UNI,11,0,top,686,0,0,0
crc,UNI,181,0,bottom,686,0,0,0
crc,UNI,181,0,random,686,0,0,0
crc,UNI,181,0,top,686,0,0,0
crc,UNI,89,0,bottom,686,0,0,0
crc,UNI,89,0,random,686,0,0,0
crc,UNI,89,0,top,686,0,0,0
