model,method,target_role,class_name,correct,images,mean_spearman,mean_top_logit_auc,mean_random_logit_auc,mean_bottom_logit_auc,mean_top_minus_random_auc
UNI,raw_attention,predicted,04_LYMPHO,False,9,-0.004374531278084587,1.6588391092088488,1.8352192686663733,1.8971188293562993,-0.17638015945752453
UNI,raw_attention,predicted,04_LYMPHO,True,25,-0.09682538228908485,2.67006316113472,2.7039853174686432,2.6618585703372957,-0.03392215633392335
UNI,raw_attention,predicted,05_DEBRIS,False,7,-0.020431614381681725,2.3723593013627187,2.55223947593144,2.5590580127068927,-0.17988017456872116
UNI,raw_attention,predicted,05_DEBRIS,True,27,0.09471191613912884,2.267174117708648,2.398933127743226,2.478562417847139,-0.1317590100345788
UNI,raw_attention,predicted,06_MUCOSA,False,3,-0.2664743523336707,1.9241655111312863,1.6464047809441886,1.3250534862279892,0.27776073018709796
UNI,raw_attention,predicted,06_MUCOSA,True,31,0.14680572480814624,3.0538845875330507,3.497517609596253,3.4943550604005016,-0.44363302206320154
UNI,raw_attention,predicted,07_ADIPOSE,False,5,0.33708165655953914,2.816387025117874,2.841583490371704,2.917418191432953,-0.025196465253829858
UNI,raw_attention,predicted,07_ADIPOSE,True,29,0.03639297858733991,2.426409873520506,3.1465521155760205,3.159969181747272,-0.7201422420555148
UNI,raw_attention,predicted,08_EMPTY,False,9,0.4046536172714563,0.6273490952948729,0.8568506446149614,0.8969245582818984,-0.22950154932008848
UNI,raw_attention,predicted,08_EMPTY,True,25,0.2031306480370765,2.3287009487748147,2.385909112483263,2.399447942018509,-0.057208163708448445
UNI,raw_attention,true,01_TUMOR,False,6,0.03945950109836985,0.47796712455650175,0.555096760392189,0.6311884567141532,-0.07712963583568727
UNI,raw_attention,true,02_STROMA,False,8,-0.010125190255719622,0.7480757071869448,0.8051140937954188,0.7992927463725209,-0.05703838660847399
UNI,raw_attention,true,03_COMPLEX,False,8,0.017930456055909295,0.7702348432969303,0.9036002749577166,0.9540235359221696,-0.13336543166078627
UNI,raw_attention,true,04_LYMPHO,False,9,-0.03367165426628806,0.5720420695013471,0.6286154792126681,0.6891714362634552,-0.056573409711321215
UNI,raw_attention,true,05_DEBRIS,False,7,0.09862560520387102,0.5567602344389472,0.3835827312831368,0.32905419527419977,0.1731775031558104
UNI,raw_attention,true,06_MUCOSA,False,3,0.2405342300918806,-0.8482702240347862,0.4549131726225218,1.0000429570674896,-1.303183396657308
UNI,raw_attention,true,07_ADIPOSE,False,5,0.12103530986779718,0.8380384957045317,0.9293193669617177,0.8547916820645332,-0.09128087125718594
UNI,raw_attention,true,08_EMPTY,False,9,-0.22408834417536377,1.9829479696177357,0.47931865875466934,0.2652627159375698,1.5036293108630665
