comparison,model_a,model_b,comparison_target,subgroup,metric,pair_count,source_group_count,model_a_mean,model_b_mean,mean_paired_difference,wilcoxon_statistic,wilcoxon_p_value,paired_bootstrap_ci_low,paired_bootstrap_ci_high,hierarchical_bootstrap_ci_low,hierarchical_bootstrap_ci_high,confidence_level,bootstrap_iterations,wilcoxon_p_holm,significant_holm_0.05,wilcoxon_p_display,wilcoxon_p_holm_display
UNI - CNN,UNI,CNN,true_class,both_correct,attribution_occlusion_spearman,192,10,0.15202308077785245,0.3993344732804834,-0.2473113925026309,2798.0,5.007527318978594e-17,-0.29343493558909517,-0.1963283513952901,-0.3460510931149413,-0.15123924637188768,0.95,5000,5.007527318978594e-17,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,both_correct,top_target_logit_auc,192,10,2.183215331818792,1.31268731328067,0.8705280185381222,2971.0,3.2915681499110696e-16,0.6995748116303608,1.0418191803399164,0.5465157125155427,1.3124709902979543,0.95,5000,3.2915681499110696e-16,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,both_correct,random_target_logit_auc,192,10,2.755683135947523,1.709831663842973,1.0458514721045502,2537.0,2.6608711604846413e-18,0.8479651161355288,1.2414759608143988,0.6838137678222235,1.481619072302923,0.95,5000,2.6608711604846413e-18,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,both_correct,bottom_target_logit_auc,192,10,2.9518320260336623,2.197495889948914,0.7543361360847484,3362.0,1.9331231219935033e-14,0.5773047225933018,0.9268508841060246,0.35860387408239897,1.2480233927138218,0.95,5000,1.9331231219935033e-14,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,both_correct,top_minus_random_target_logit_auc,192,10,-0.572467804128731,-0.3971443505623029,-0.17532345356642817,7150.0,0.006108568822121875,-0.2625968471740028,-0.08831147479913254,-0.3674740994859676,0.03551327714084106,0.95,5000,0.006108568822121875,True,p = 0.0061,p = 0.0061
UNI - CNN,UNI,CNN,true_class,both_correct,top_margin_auc,192,10,1.4989822484863302,0.6882580386319509,0.8107242098543793,3960.0,6.011225285209894e-12,0.5967950179078132,1.01809381931312,0.5499394138557723,1.110456729704472,0.95,5000,6.011225285209894e-12,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,both_correct,top_minus_random_margin_auc,192,10,-0.8087883137428434,-0.17158214893861437,-0.637206164804229,2914.0,1.7796876114225372e-16,-0.785663618375814,-0.4924480799942226,-0.9707087344584557,-0.3511044756051122,0.95,5000,1.7796876114225372e-16,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,both_correct,top_5_target_logit_drop,192,10,0.591149803561469,0.6161992308916524,-0.025049427330183487,8982.0,0.714544869659071,-0.15432646751093368,0.10137060860288309,-0.31734565422659705,0.2694382808403001,0.95,5000,0.714544869659071,False,p = 0.7145,p = 0.7145
UNI - CNN,UNI,CNN,true_class,both_correct,top_10_target_logit_drop,192,10,0.8542982772924006,1.1570373844200124,-0.3027391071276118,6468.0,0.00028733086446511394,-0.47489370073502263,-0.12603993219090637,-0.6959029573449405,0.11168765416396001,0.95,5000,0.00028733086446511394,True,p = 0.0003,p = 0.0003
UNI - CNN,UNI,CNN,true_class,both_correct,top_20_target_logit_drop,192,10,1.2906807680992642,2.1161469081028677,-0.8254661400036033,4757.0,5.0456396070246314e-09,-1.0808056681110125,-0.5703224203857342,-1.4078403440735519,-0.21665549867182216,0.95,5000,5.0456396070246314e-09,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,both_correct,top_30_target_logit_drop,192,10,1.7665115268173395,3.0391604161365344,-1.2726488893191952,4144.0,3.1212929617441626e-11,-1.610596668218083,-0.9373935376046577,-2.0067385966592015,-0.5023983986866444,0.95,5000,3.1212929617441626e-11,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,both_correct,top_5_margin_drop,192,10,0.7474803309887648,0.5657844298984855,0.18169590109027922,7813.0,0.05983967506569853,0.013207511186677344,0.35460205518368926,-0.11222715285678228,0.4893040688356159,0.95,5000,0.05983967506569853,False,p = 0.0598,p = 0.0598
UNI - CNN,UNI,CNN,true_class,both_correct,top_10_margin_drop,192,10,1.09287337337931,1.0196064161912848,0.07326695718802512,9253.0,0.9886168095912155,-0.1633326276069662,0.31568718850224586,-0.3603117793346089,0.5035037857692256,0.95,5000,0.9886168095912155,False,p = 0.9886,p = 0.9886
UNI - CNN,UNI,CNN,true_class,both_correct,top_20_margin_drop,192,10,1.6738400716955464,1.7633924186229706,-0.08955234692742427,8279.0,0.20140366546898214,-0.4456046946230344,0.2692386513963952,-0.7284214244764498,0.5846308583577928,0.95,5000,0.20140366546898214,False,p = 0.2014,p = 0.2014
UNI - CNN,UNI,CNN,true_class,both_correct,top_30_margin_drop,192,10,2.3527196928237877,2.527585042097295,-0.1748653492735078,8035.0,0.11092818174913467,-0.6363708952170175,0.30220459316430276,-1.1119488801261936,0.8040879969286991,0.95,5000,0.11092818174913467,False,p = 0.1109,p = 0.1109
UNI - CNN,UNI,CNN,true_class,both_incorrect,attribution_occlusion_spearman,51,10,0.11528547381467234,0.38423386150909977,-0.26894838769442747,193.0,1.0552582418844811e-05,-0.3656418487767205,-0.17202851395728874,-0.4624357598821782,-0.08222915180652166,0.95,5000,1.0552582418844811e-05,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,both_incorrect,top_target_logit_auc,51,10,0.39976611725367406,-0.20951490806890471,0.6092810253225787,296.0,0.0005815802095909655,0.33771617492696554,0.8868522160073518,0.05715523477201862,1.2026029149295354,0.95,5000,0.0005815802095909655,True,p = 0.0006,p = 0.0006
UNI - CNN,UNI,CNN,true_class,both_incorrect,random_target_logit_auc,51,10,0.6347440839244062,0.06813881256909787,0.5666052713553082,302.0,0.0007148445059986746,0.2924296152804678,0.8526250117288745,0.08668974173515118,0.993548586600295,0.95,5000,0.0007148445059986746,True,p = 0.0007,p = 0.0007
UNI - CNN,UNI,CNN,true_class,both_incorrect,bottom_target_logit_auc,51,10,0.9060717515053921,0.5791174364002312,0.326954315105161,434.0,0.03183120304545379,0.06030591515767132,0.5875231698921917,-0.010763839206485026,0.7338320651531806,0.95,5000,0.03183120304545379,True,p = 0.0318,p = 0.0318
UNI - CNN,UNI,CNN,true_class,both_incorrect,top_minus_random_target_logit_auc,51,10,-0.23497796667073217,-0.27765372063800253,0.042675753967270386,502.0,0.13126603302469755,-0.11175387411572066,0.17792631833630046,-0.2095517446124583,0.26686552656630186,0.95,5000,0.13126603302469755,False,p = 0.1313,p = 0.1313
UNI - CNN,UNI,CNN,true_class,both_incorrect,top_margin_auc,51,10,-1.5502526288231213,-1.74114493534115,0.1908923065180287,653.0,0.9253199298840316,-0.31146068093987805,0.7160323489362388,-0.979307064686641,1.4758633948565394,0.95,5000,0.9253199298840316,False,p = 0.9253,p = 0.9253
UNI - CNN,UNI,CNN,true_class,both_incorrect,top_minus_random_margin_auc,51,10,-0.23681645596071202,-0.19894295663883288,-0.03787349932187917,624.0,0.7146895407730142,-0.2814929401144093,0.19279363342515168,-0.48520230337453524,0.3506045293361653,0.95,5000,0.7146895407730142,False,p = 0.7147,p = 0.7147
UNI - CNN,UNI,CNN,true_class,both_incorrect,top_5_target_logit_drop,51,10,0.10665361177833642,0.539670060078303,-0.4330164482999666,620.0,0.686904766035255,-0.9199193179936092,0.026705792356355458,-1.627366798755927,0.5724469874700252,0.95,5000,0.686904766035255,False,p = 0.6869,p = 0.6869
UNI - CNN,UNI,CNN,true_class,both_incorrect,top_10_target_logit_drop,51,10,0.21470006427490243,0.9055678464618384,-0.6908677821869359,595.0,0.5238670979512359,-1.3543326454593196,-0.06278596524167489,-2.284167839485732,0.6877768227165298,0.95,5000,0.5238670979512359,False,p = 0.5239,p = 0.5239
UNI - CNN,UNI,CNN,true_class,both_incorrect,top_20_target_logit_drop,51,10,0.40501987851366367,1.5106816499256621,-1.1056617714119983,520.0,0.1801134634267031,-1.9777016842447326,-0.3338003916120929,-3.257686028131997,0.5719422448123379,0.95,5000,0.1801134634267031,False,p = 0.1801,p = 0.1801
UNI - CNN,UNI,CNN,true_class,both_incorrect,top_30_target_logit_drop,51,10,0.6149009430014035,2.0039520056224336,-1.3890510626210302,462.0,0.05955593486535172,-2.379723285603355,-0.5258561173362625,-3.766632542916273,0.4847804228949949,0.95,5000,0.05955593486535172,False,p = 0.0596,p = 0.0596
UNI - CNN,UNI,CNN,true_class,both_incorrect,top_5_margin_drop,51,10,-0.030584159435010423,0.3820553386912626,-0.41263949812627304,628.0,0.7428577228895605,-1.027981258797295,0.18113761897764932,-1.8889886908056448,0.847679298198191,0.95,5000,0.7428577228895605,False,p = 0.7429,p = 0.7429
UNI - CNN,UNI,CNN,true_class,both_incorrect,top_10_margin_drop,51,10,0.1191028356552124,0.4881604161916995,-0.3690575805364871,645.0,0.8660149958741169,-1.1894299310212042,0.41064160343478645,-2.403216545079521,1.4259405676420622,0.95,5000,0.8660149958741169,False,p = 0.8660,p = 0.8660
UNI - CNN,UNI,CNN,true_class,both_incorrect,top_20_margin_drop,51,10,0.15413425015468224,0.5849698443038791,-0.43083559414919687,645.0,0.8660149958741169,-1.4944217140183729,0.5948635085248479,-2.9860928993901017,1.7952941813614183,0.95,5000,0.8660149958741169,False,p = 0.8660,p = 0.8660
UNI - CNN,UNI,CNN,true_class,both_incorrect,top_30_margin_drop,51,10,0.27168919058407054,0.5097323282092225,-0.238043137625152,625.0,0.7216969766329905,-1.4309891982405794,0.8945574387031437,-3.0877891897330683,2.1987109369701807,0.95,5000,0.7216969766329905,False,p = 0.7217,p = 0.7217
UNI - CNN,UNI,CNN,true_class,mixed,attribution_occlusion_spearman,29,10,0.22662795610567502,0.2684688698212679,-0.041840913715592835,163.0,0.24702516570687294,-0.18448225492479164,0.10998888406409121,-0.21849036079194967,0.1752839576399652,0.95,5000,0.24702516570687294,False,p = 0.2470,p = 0.2470
UNI - CNN,UNI,CNN,true_class,mixed,top_target_logit_auc,29,10,1.8310690362777176,0.04515893722659557,1.785910099051122,24.0,2.8386712074279785e-06,1.2320661981916057,2.2913014546850823,1.0830166073322876,2.5391252674927496,0.95,5000,2.8386712074279785e-06,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,mixed,random_target_logit_auc,29,10,2.637858303173862,0.6507131955008312,1.9871451076730318,18.0,9.424984455108643e-07,1.3945651346005916,2.5722742512570043,1.203186237474396,2.8887508735005705,0.95,5000,9.424984455108643e-07,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,mixed,bottom_target_logit_auc,29,10,2.8849249898616605,0.9005574024378739,1.984367587423787,33.0,1.1928379535675049e-05,1.3103703791579102,2.6056975875425565,0.9714707647136323,3.0158586872382402,0.95,5000,1.1928379535675049e-05,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,true_class,mixed,top_minus_random_target_logit_auc,29,10,-0.806789266896145,-0.6055542582742357,-0.20123500862190938,172.0,0.33573371544480324,-0.47286501795816194,0.04252799485794054,-0.6309835259460134,0.14443115204683113,0.95,5000,0.33573371544480324,False,p = 0.3357,p = 0.3357
UNI - CNN,UNI,CNN,true_class,mixed,top_margin_auc,29,10,0.9133646111550003,-1.1810547846144643,2.0944193957694646,72.0,0.001068316400051117,1.0615147891319523,3.0474188946123264,0.8228397803434306,3.325898675995866,0.95,5000,0.001068316400051117,True,p = 0.0011,p = 0.0011
UNI - CNN,UNI,CNN,true_class,mixed,top_minus_random_margin_auc,29,10,-1.1108948786710868,-0.29628416181477746,-0.8146107168563094,76.0,0.0015273615717887878,-1.355092683024062,-0.3576030167003949,-1.7105839667477272,-0.19300009262154919,0.95,5000,0.0015273615717887878,True,p = 0.0015,p = 0.0015
UNI - CNN,UNI,CNN,true_class,mixed,top_5_target_logit_drop,29,10,0.8827548191465181,0.38115316578026476,0.5016016533662533,116.0,0.027409173548221588,0.0960270577399382,1.0118800060181263,0.025665709128054066,1.2743809698213788,0.95,5000,0.027409173548221588,True,p = 0.0274,p = 0.0274
UNI - CNN,UNI,CNN,true_class,mixed,top_10_target_logit_drop,29,10,1.257236190910997,0.7339212185349958,0.5233149723760013,160.0,0.22136975452303886,-0.05210022925688273,1.2562082724517276,-0.19685419792132008,1.6060054047421766,0.95,5000,0.22136975452303886,False,p = 0.2214,p = 0.2214
UNI - CNN,UNI,CNN,true_class,mixed,top_20_target_logit_drop,29,10,1.8775990070967838,1.3306793773482586,0.5469196297485253,174.0,0.35785307362675667,-0.20493246582818425,1.3680812622195684,-0.4198070874078409,1.847085266823618,0.95,5000,0.35785307362675667,False,p = 0.3579,p = 0.3579
UNI - CNN,UNI,CNN,true_class,mixed,top_30_target_logit_drop,29,10,2.3507369628240324,1.8331739880658429,0.5175629747581894,191.0,0.5792817249894142,-0.34566922301490727,1.4739851533274706,-0.6270986817178449,2.0716267966830557,0.95,5000,0.5792817249894142,False,p = 0.5793,p = 0.5793
UNI - CNN,UNI,CNN,true_class,mixed,top_5_margin_drop,29,10,1.225992788528574,-0.08254654037541356,1.3085393289039875,50.0,0.0001104697585105896,0.49026209619538547,2.3699123081975966,0.4350236599368434,2.778888129641027,0.95,5000,0.0001104697585105896,True,p = 0.0001,p = 0.0001
UNI - CNN,UNI,CNN,true_class,mixed,top_10_margin_drop,29,10,1.7924713492393494,-0.11253844869547877,1.9050097979348282,72.0,0.001068316400051117,0.6995337271484838,3.5063045804870527,0.5356546097435059,4.069791458085502,0.95,5000,0.001068316400051117,True,p = 0.0011,p = 0.0011
UNI - CNN,UNI,CNN,true_class,mixed,top_20_margin_drop,29,10,2.487191845630777,-0.17025080014919414,2.6574426457799714,51.0,0.00012406706809997559,1.3024893815147467,4.324378973810836,0.9874358364764383,4.991453707218167,0.95,5000,0.00012406706809997559,True,p = 0.0001,p = 0.0001
UNI - CNN,UNI,CNN,true_class,mixed,top_30_margin_drop,29,10,3.0271029842310937,-0.2897167863516972,3.316819770582791,42.0,4.13358211517334e-05,1.7646872923805799,5.011139836136637,1.3408304430544378,5.89286567520764,0.95,5000,4.13358211517334e-05,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,shared_prediction,all,attribution_occlusion_spearman,233,10,0.16295074891664257,0.3737014257278844,-0.21075067681124182,5345.0,8.684802765448335e-16,-0.255952521766312,-0.16282385419350792,-0.3202913647464127,-0.11797452165605717,0.95,5000,8.684802765448335e-16,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,shared_prediction,all,top_target_logit_auc,233,10,2.0660723378286248,1.288495007997115,0.7775773298315095,5369.0,1.0501900125017507e-15,0.6141665164380867,0.9426263385994834,0.39359641607795304,1.272874547700377,0.95,5000,1.0501900125017507e-15,True,p < 0.0001,p < 0.0001
UNI - CNN,UNI,CNN,shared_prediction,all,random_target_logit_auc,233,10,2.623660508610404,1.6687420563216724,0.9549184522887316,4554.0,1.2281661489017783e-18,0.7722555873965218,1.134879224527709,0.60566586945773,1.4163887351823525,0.95,5000,1.2281661489017783e-18,True,p < 0.0001,p < 0.0001
