model,seed,true_class,predicted_class,count
DINOv2,57,01_TUMOR,06_MUCOSA,9
DINOv2,57,01_TUMOR,07_ADIPOSE,0
DINOv2,57,01_TUMOR,08_EMPTY,0
DINOv2,57,02_STROMA,01_TUMOR,10
DINOv2,57,02_STROMA,02_STROMA,408
DINOv2,57,02_STROMA,03_COMPLEX,149
DINOv2,57,02_STROMA,04_LYMPHO,1
DINOv2,57,02_STROMA,05_DEBRIS,52
DINOv2,57,02_STROMA,06_MUCOSA,5
DINOv2,57,02_STROMA,07_ADIPOSE,0
DINOv2,57,02_STROMA,08_EMPTY,0
DINOv2,57,03_COMPLEX,01_TUMOR,41
DINOv2,57,03_COMPLEX,02_STROMA,93
DINOv2,57,03_COMPLEX,03_COMPLEX,432
DINOv2,57,03_COMPLEX,04_LYMPHO,44
DINOv2,57,03_COMPLEX,05_DEBRIS,13
DINOv2,57,03_COMPLEX,06_MUCOSA,2
DINOv2,57,03_COMPLEX,07_ADIPOSE,0
DINOv2,57,03_COMPLEX,08_EMPTY,0
DINOv2,57,04_LYMPHO,01_TUMOR,8
DINOv2,57,04_LYMPHO,02_STROMA,10
DINOv2,57,04_LYMPHO,03_COMPLEX,123
DINOv2,57,04_LYMPHO,04_LYMPHO,478
DINOv2,57,04_LYMPHO,05_DEBRIS,5
DINOv2,57,04_LYMPHO,06_MUCOSA,1
DINOv2,57,04_LYMPHO,07_ADIPOSE,0
DINOv2,57,04_LYMPHO,08_EMPTY,0
DINOv2,57,05_DEBRIS,01_TUMOR,77
DINOv2,57,05_DEBRIS,02_STROMA,186
DINOv2,57,05_DEBRIS,03_COMPLEX,16
DINOv2,57,05_DEBRIS,04_LYMPHO,38
DINOv2,57,05_DEBRIS,05_DEBRIS,254
DINOv2,57,05_DEBRIS,06_MUCOSA,1
DINOv2,57,05_DEBRIS,07_ADIPOSE,42
DINOv2,57,05_DEBRIS,08_EMPTY,11
DINOv2,57,06_MUCOSA,01_TUMOR,19
DINOv2,57,06_MUCOSA,02_STROMA,1
