model,seed,case_id,images,accuracy
DINOv2,151,CRC-Prim-HE-06,1061,0.7238454288407163
DINOv2,151,CRC-Prim-HE-07,503,0.7693836978131213
DINOv2,151,CRC-Prim-HE-08,389,0.4601542416452442
DINOv2,151,CRC-Prim-HE-09,342,0.672514619883041
DINOv2,151,CRC-Prim-HE-10,238,0.9117647058823529
DINOv2,181,CRC-Prim-HE-01,401,0.9201995012468828
DINOv2,181,CRC-Prim-HE-02,284,0.7852112676056338
DINOv2,181,CRC-Prim-HE-03,740,0.7608108108108108
DINOv2,181,CRC-Prim-HE-04,381,0.8110236220472441
DINOv2,181,CRC-Prim-HE-05,661,0.7503782148260212
DINOv2,181,CRC-Prim-HE-06,1061,0.824693685202639
DINOv2,181,CRC-Prim-HE-07,503,0.7395626242544732
DINOv2,181,CRC-Prim-HE-08,389,0.4652956298200514
DINOv2,181,CRC-Prim-HE-09,342,0.6754385964912281
DINOv2,181,CRC-Prim-HE-10,238,0.9369747899159664
FrozenResNet18,11,CRC-Prim-HE-01,401,0.8528678304239401
FrozenResNet18,11,CRC-Prim-HE-02,284,0.8028169014084507
FrozenResNet18,11,CRC-Prim-HE-03,740,0.7243243243243244
FrozenResNet18,11,CRC-Prim-HE-04,381,0.7874015748031497
FrozenResNet18,11,CRC-Prim-HE-05,661,0.8018154311649016
FrozenResNet18,11,CRC-Prim-HE-06,1061,0.9057492931196984
FrozenResNet18,11,CRC-Prim-HE-07,503,0.731610337972167
FrozenResNet18,11,CRC-Prim-HE-08,389,0.41131105398457585
FrozenResNet18,11,CRC-Prim-HE-09,342,0.7046783625730995
FrozenResNet18,11,CRC-Prim-HE-10,238,0.9033613445378151
FrozenResNet18,23,CRC-Prim-HE-01,401,0.8653366583541147
FrozenResNet18,23,CRC-Prim-HE-02,284,0.7992957746478874
FrozenResNet18,23,CRC-Prim-HE-03,740,0.7054054054054054
FrozenResNet18,23,CRC-Prim-HE-04,381,0.7375328083989501
FrozenResNet18,23,CRC-Prim-HE-05,661,0.7957639939485628
FrozenResNet18,23,CRC-Prim-HE-06,1061,0.35061262959472195
FrozenResNet18,23,CRC-Prim-HE-07,503,0.731610337972167
FrozenResNet18,23,CRC-Prim-HE-08,389,0.4087403598971722
FrozenResNet18,23,CRC-Prim-HE-09,342,0.7105263157894737
FrozenResNet18,23,CRC-Prim-HE-10,238,0.8907563025210085
FrozenResNet18,41,CRC-Prim-HE-01,401,0.7556109725685786
FrozenResNet18,41,CRC-Prim-HE-02,284,0.7922535211267606
FrozenResNet18,41,CRC-Prim-HE-03,740,0.7027027027027027
FrozenResNet18,41,CRC-Prim-HE-04,381,0.7427821522309711
FrozenResNet18,41,CRC-Prim-HE-05,661,0.8018154311649016
FrozenResNet18,41,CRC-Prim-HE-06,1061,0.8416588124410933
FrozenResNet18,41,CRC-Prim-HE-07,503,0.7216699801192843
FrozenResNet18,41,CRC-Prim-HE-08,389,0.493573264781491
FrozenResNet18,41,CRC-Prim-HE-09,342,0.7222222222222222
FrozenResNet18,41,CRC-Prim-HE-10,238,0.8991596638655462
FrozenResNet18,57,CRC-Prim-HE-01,401,0.8104738154613467
FrozenResNet18,57,CRC-Prim-HE-02,284,0.7852112676056338
