excluded_source_group,retained_source_groups,estimate,cohort_name,analysis_family,target_role,method_family,perturbation,grid_label,metric,model_a,model_b
CRC-Prim-HE-10,9,-0.06700542555810983,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_logit_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-01,9,-0.3137596797125192,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-02,9,-0.29027382664931844,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-03,9,-0.2850465157507068,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-04,9,-0.29606164165758125,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-05,9,-0.281099204456564,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-06,9,-0.22336150223956203,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-07,9,-0.23416585049251712,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-08,9,-0.280547397330685,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-09,9,-0.29486770026577475,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-10,9,-0.35106393834063154,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,FrozenResNet18,ResNet18
CRC-Prim-HE-01,9,-0.07013597484379663,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-02,9,-0.06859510036460516,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_logit_reduction,FrozenResNet18,ResNet18
CRC-Prim-HE-03,9,-0.05415394483363005,selected_training_regime,training_regime_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_5_relative_target_logit_reduction,FrozenResNet18,ResNet18
