cohort_name,analysis_family,model,method,perturbation,grid_label,image_seed_rows,images,seeds,source_groups,spearman_mean,spearman_median,spearman_q1,spearman_q3,positive_spearman_fraction,top_beats_random_fraction,subgroup_type,class_name,case_id,correct,confidence_group
random_prediction_independent,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,27,10,3,7,0.005787374605358656,0.0051080174357911,-0.0822725497852401,0.18846114002024078,0.5185185185185185,0.037037037037037035,class,05_DEBRIS,,,
random_prediction_independent,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,42,14,3,7,0.14024312661961183,0.08844360860314446,-0.004742646765851925,0.3726060568167028,0.7380952380952381,0.14285714285714285,class,06_MUCOSA,,,
random_prediction_independent,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,48,16,3,6,-0.07239802774938534,-0.04951748758855355,-0.25781303540549366,0.09350819593749247,0.3541666666666667,0.041666666666666664,class,07_ADIPOSE,,,
random_prediction_independent,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,30,11,3,2,-0.1000011156356334,-0.08625935340946216,-0.3156037580983194,0.1529408952179075,0.3333333333333333,0.0,class,08_EMPTY,,,
random_prediction_independent,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,44,15,3,10,0.17815058336897516,0.1747013682474161,0.093366749276829,0.2628987682575624,0.9090909090909091,0.9772727272727273,class,01_TUMOR,,,
random_prediction_independent,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,34,13,3,9,0.15947041293569272,0.15380630971638945,0.017525042035556875,0.30558335790388,0.7941176470588235,1.0,class,02_STROMA,,,
random_prediction_independent,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,23,8,3,4,0.21732170648672236,0.2145654200766601,0.08874961151973475,0.29932025914621996,0.9565217391304348,1.0,class,03_COMPLEX,,,
random_prediction_independent,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,39,13,3,9,0.21712691227074757,0.2088198965646391,0.14302289443696253,0.30195076859326314,0.9487179487179487,1.0,class,04_LYMPHO,,,
random_prediction_independent,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,27,10,3,7,0.11382869302132595,0.1055646311628907,0.03893249607535315,0.16939333328020778,0.8148148148148148,1.0,class,05_DEBRIS,,,
random_prediction_independent,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,42,14,3,7,0.07387780905858188,0.07046035907529741,-0.07740877686490445,0.1879997449975695,0.6190476190476191,1.0,class,06_MUCOSA,,,
random_prediction_independent,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,48,16,3,6,-0.16566467160524423,-0.15276558104694435,-0.30374654352174296,-0.03676019412060018,0.1875,0.8541666666666666,class,07_ADIPOSE,,,
random_prediction_independent,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,30,11,3,2,0.08859945559913268,0.10580130529369106,-0.00264365800986535,0.1923284112551698,0.7333333333333333,0.6333333333333333,class,08_EMPTY,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,gaussian_blur,common_14,71,25,3,10,0.10065388145237801,0.1263951422036991,0.0261807807855668,0.19616779159926365,0.7887323943661971,0.36619718309859156,class,01_TUMOR,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,gaussian_blur,common_14,59,21,3,9,-0.0040290107971666855,-0.0345544230968451,-0.07742272231032196,0.1136282861446023,0.4067796610169492,0.5932203389830508,class,02_STROMA,,,
selected_faithfulness,primary_jointly_correct_true_class,DINOv2,gradient_attention_rollout,gaussian_blur,common_14,36,13,3,7,0.10894288211184511,0.1145949047326857,0.0899867717489182,0.16549179609368148,0.8888888888888888,0.9444444444444444,class,03_COMPLEX,,,
