cohort_name,analysis_family,target_role,model,method,perturbation,grid_label,case_id,attribution_occlusion_spearman,normalized_top_minus_random_target_logit_auc,normalized_top_minus_random_target_margin_auc,top_minus_random_relative_target_logit_reduction_auc,top_minus_random_relative_target_margin_reduction_auc,top_minus_random_5_relative_target_logit_reduction,top_minus_random_10_relative_target_logit_reduction,top_minus_random_20_relative_target_logit_reduction,top_minus_random_30_relative_target_logit_reduction,top_minus_random_5_relative_target_margin_reduction,top_minus_random_10_relative_target_margin_reduction,top_minus_random_20_relative_target_margin_reduction,top_minus_random_30_relative_target_margin_reduction
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_14,CRC-Prim-HE-08,0.09729689119039132,0.3691946623258077,8.776823857881466,-0.07809141635056562,-0.13780119106834826,0.020594396971158203,-0.0073537997451255605,-0.12689870358863675,-0.22187731232022162,0.03511646679883595,0.01169801866508435,-0.18422480605081998,-0.37624179021757587
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_14,CRC-Prim-HE-09,-0.011086494114013109,1.2306612102662509,1.645942838077353,-0.1117043575887088,-0.18413155836075346,-0.06663474642656303,-0.13501185527202228,-0.22059088306115543,-0.29519282501814437,-0.07122541197910871,-0.22441385517088766,-0.3701838743618502,-0.48034558808781913
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_14,CRC-Prim-HE-10,0.046603742100313726,0.9893896886349928,1.1593251905454092,-0.12725658740514054,-0.11809974016279776,-0.05797163762600586,-0.14985005893868453,-0.23769456702463757,-0.32440632970481675,-0.04954999758133641,-0.158219663039636,-0.18486406410232534,-0.30803182920680106
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_7,CRC-Prim-HE-01,0.02222045068027211,0.10626878497181035,0.8342490175003112,-0.01803881670833467,0.01563040710832134,0.002109615419235209,0.01210735346988535,-0.013889643922240732,-0.053381781458299436,0.06814041892251409,0.1996865703529253,0.13362927568089528,-0.1007153741717497
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_7,CRC-Prim-HE-02,0.09028668610301262,0.30271751136277436,0.5121617056380383,-0.011598683057100377,-0.08351412699238879,0.028937964890688655,0.021052218596986964,-0.010105178165776768,-0.049426788492158945,0.03545043671448212,-0.03833961661913735,-0.15940109070457248,-0.2524499319902387
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_7,CRC-Prim-HE-03,0.09596938775510201,0.4130684038964896,0.5277937590896183,-0.04138025574955237,-0.010689776088182265,0.030856607933491403,0.04034061663239671,-0.04498634618376881,-0.13006546555532117,0.059812627385676685,0.16641397650680134,0.07648289486998816,-0.06800242307211549
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_7,CRC-Prim-HE-04,0.08711791383219954,0.05325428108457032,2.843102306825402,-0.014359850315994105,-0.030290165592549437,0.008345464614001426,0.027298562623662197,-0.01181260201412735,-0.03878457543008001,0.02167442208208068,0.03243783483963175,-0.038990117871282856,-0.09325782196334982
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_7,CRC-Prim-HE-05,0.10649033569107966,0.20087038011606306,2.263926169486885,-0.038678392075011184,-0.15361142077911283,0.028315318921241072,0.010737694111659497,-0.09222808940618447,-0.12185765553984003,0.04060878883101937,0.09577792726054975,-0.24720249333119926,-0.4177438255910242
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_7,CRC-Prim-HE-06,-0.09831827016520892,0.271214669321499,1.0525204475506196,-0.02258300088541554,-0.06977539039253079,0.03931899622283149,0.04999048013809877,-0.022660966131374777,-0.09099109465854711,0.13117898097948283,0.10515810914397045,-0.08463453297626687,-0.2728035696330921
selected_faithfulness,primary_jointly_correct_true_class,true_class,ResNet18,gradcam,normalized_zero,common_7,CRC-Prim-HE-07,0.08611150310524397,0.30489867028845524,0.5906292638253416,0.0041503597192010895,0.5911422766483322,0.036506542349071816,0.05786972396473512,0.04445918450408558,-0.042242270037431355,0.11011894078410102,1.8986879147636047,2.694720759966062,0.7264136399433629
