cohort_name,analysis_family,model,method,perturbation,grid_label,image_seed_rows,images,seeds,source_groups,mean_spearman,median_spearman,positive_spearman_fraction,top_beats_random_fraction,mean_scale_free_logit_auc,mean_scale_free_margin_auc,supportive_spearman,absolute_spearman,supportive_effect,absolute_effect,inhibitory_effect
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,527,187,3,10,0.014138241038034367,0.0252069902541258,0.5313092979127134,0.17267552182163187,-0.09727268306019221,-0.13621252418924,0.03365779557561083,0.09208358047727423,0.16132189777275047,0.2848148656270309,0.12349296802570034
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_7,527,187,3,10,0.06861793550901107,0.093469387755102,0.5901328273244781,0.286527514231499,-0.030669667128286913,-0.06154756228924804,0.08941770304661124,0.12072511317420383,0.35732967322325576,0.5385042959417745,0.1811746247763307
selected_faithfulness,primary_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,native_5,527,187,3,10,0.12886131837605155,0.1569230769230769,0.6299810246679317,0.4648956356736243,0.0005257812573164972,-0.03869238358297736,0.14286574586985026,0.14886484150181417,0.5127988297899168,0.7069778414390119,0.19417901072448418
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,gaussian_blur,common_14,527,187,3,10,0.03277976873195113,0.0534963223868227,0.6053130929791272,0.8330170777988615,0.050839666308812155,0.033281887311632535,0.09339379541480021,0.20442714567922396,0.10208435784636567,0.12227085395495225,0.020186495812491646
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,local_mean,common_14,527,187,3,10,0.11335018178196395,0.1234355202448023,0.7210626185958254,0.9753320683111955,0.09839136808421116,0.010992255147698035,0.1641617387977217,0.2352240491821599,0.1302133391337801,0.15855035920975555,0.02833702050771528
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_14,527,187,3,10,0.12835600257289076,0.1514475372343392,0.7343453510436433,0.9658444022770398,0.09322306624687116,0.054027594663273566,0.18536961266216637,0.19860338575990333,0.08388998673215009,0.10548510756944453,0.02159512040904837
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,common_7,527,187,3,10,0.18256429088367593,0.198469387755102,0.7722960151802657,0.8918406072106262,0.054772201828826014,-0.002735116287953478,0.21652105362538324,0.21685824216840907,0.18047841972068052,0.20718541231706197,0.026706991723301026
selected_faithfulness,primary_jointly_correct_true_class,UNI,gradient_attention_rollout,normalized_zero,native_14,527,187,3,10,0.12835600257289076,0.1514475372343392,0.7343453510436433,0.9658444022770398,0.09322306624687116,0.054027594663273566,0.18536961266216637,0.19860338575990333,0.08388998673215009,0.10548510756944453,0.02159512040904837
selected_training_regime,training_regime_jointly_correct_true_class,FrozenResNet18,gradcam,normalized_zero,common_14,546,197,3,10,0.13846350681482408,0.1406887486010729,0.7087912087912088,0.08974358974358974,-0.1547264168644774,-0.41889371592592295,0.13124244007666017,0.053274535579914746,0.21753370811806258,0.3250455671150387,0.10751185885071068
selected_training_regime,training_regime_jointly_correct_true_class,ResNet18,gradcam,normalized_zero,common_14,546,197,3,10,0.007662483213161186,0.0190391189666026,0.5238095238095238,0.1684981684981685,-0.09842430326087505,-0.14765053780191506,0.02646870168143131,0.0844268713132319,0.16254125095327335,0.2792778196352305,0.11673656915273554
