cohort_id,case_id,UNI,DINOv2,difference,cohort_name,analysis_family,target_role,method_family,perturbation,grid_label,metric,model_a,model_b,ResNet18
36d16120094f3565,CRC-Prim-HE-10,0.0689903393569683,-0.026235073298450498,0.0952254126554188,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
37a5ac2201acb4df,CRC-Prim-HE-03,0.365143659717514,0.29212224820721233,0.07302141151030167,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
39f8deff00e87441,CRC-Prim-HE-04,0.08185170680014174,0.006220716372440133,0.0756309904277016,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
3bb11e583afc1ccb,CRC-Prim-HE-09,0.0317429901434862,0.024054249434526,0.0076887407089602025,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
3c7fb6617412736f,CRC-Prim-HE-05,0.029361398938165365,-0.07459570566061924,0.1039571045987846,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
3ca77c8ff28c6a38,CRC-Prim-HE-09,0.0337134116266448,0.019890149234137098,0.0138232623925077,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
3dbf0a1ef913a401,CRC-Prim-HE-06,0.2130206355312311,0.4917228087533343,-0.2787021732221032,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
3e98695c46510ed0,CRC-Prim-HE-06,0.2948958651000709,0.19279080151648462,0.10210506358358626,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
41713f770826e98b,CRC-Prim-HE-10,0.025180058274013067,-0.0407495135410783,0.06592957181509138,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
422c2fc907ade074,CRC-Prim-HE-07,0.20569607635875098,0.1211284504669009,0.08456762589185007,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
472807da8f0b9d8f,CRC-Prim-HE-04,0.0512220057899955,-0.3397112108537454,0.3909332166437409,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
49f02bf56c581508,CRC-Prim-HE-06,0.06337932349105677,0.0043521950692099005,0.05902712842184687,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
4bb5d08e6fc0f323,CRC-Prim-HE-04,0.048451332830402795,-0.005599036387953601,0.054050369218356396,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
4be2dd4795c87a84,CRC-Prim-HE-03,0.0908118811518243,0.0391212296997629,0.0516906514520614,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
4d7d22e7ee67edc0,CRC-Prim-HE-06,0.08333512343844969,-0.08725963307454404,0.17059475651299372,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
4e1415b68afd1584,CRC-Prim-HE-02,0.060190326544662394,0.20028049622910385,-0.14009016968444146,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
4edae3a6c5fef03b,CRC-Prim-HE-04,0.27289927644236683,0.3548027981142717,-0.08190352167190484,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
50abad0d894a9a24,CRC-Prim-HE-03,0.0963596894510363,-0.07292543420242266,0.16928512365345896,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
50f0d4586f4e50cd,CRC-Prim-HE-03,0.0296758850693389,-0.11302967236884576,0.14270555743818467,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
577078f694f3a50f,CRC-Prim-HE-10,0.07288432264788026,-0.29370915146980237,0.3665934741176826,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
59fb439e8286c5e4,CRC-Prim-HE-05,1.5398279160530817,1.5640536172021278,-0.024225701149046097,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
5a904b4bcd844135,CRC-Prim-HE-08,0.013812659507929334,0.0529850210479464,-0.03917236154001706,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
5bec1382c8f3cb55,CRC-Prim-HE-03,0.3607726854835966,0.3632256545248433,-0.0024529690412467,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
5ecfdf1119937db7,CRC-Prim-HE-04,0.11383607532127156,-0.5770274191631048,0.6908634944843765,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
5fbd0a0168e78ab0,CRC-Prim-HE-01,-0.0231058981568867,-0.016387612124373768,-0.006718286032512934,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
647e242b6bd13231,CRC-Prim-HE-01,1.3924948927493528,0.3411987308652465,1.0512961618841064,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
6504385ff1a70fd3,CRC-Prim-HE-04,0.19090679230441934,-0.035966331525318335,0.22687312382973768,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
66c5c50aae1f3eb7,CRC-Prim-HE-08,0.09202528266869194,0.5156655867361462,-0.42364030406745423,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
67161ff392b6a2aa,CRC-Prim-HE-04,0.032428846119098,0.15526658794847042,-0.12283774182937243,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
680133a362d38828,CRC-Prim-HE-04,0.2500984381976697,0.14799263166828505,0.10210580652938464,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
68d7766cea567a97,CRC-Prim-HE-04,0.06534007955874926,0.08406930056106127,-0.018729221002312002,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
6cacd7b496b4816f,CRC-Prim-HE-02,0.22798639084999328,0.880023249388384,-0.6520368585383908,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
6dc48436e2c96b2a,CRC-Prim-HE-07,0.3020059768365075,1.2707548614574815,-0.968748884620974,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
6dfec46ce602f4f6,CRC-Prim-HE-01,0.14760980936784487,-0.16894445502283098,0.31655426439067585,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
6f26e2e694fdda3c,CRC-Prim-HE-02,0.07808965698825787,0.15793923475117064,-0.07984957776291277,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
6f643b1b38de98a5,CRC-Prim-HE-10,0.11837941220780519,-1.6453178048713901,1.7636972170791954,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
753e54983d8212fa,CRC-Prim-HE-04,0.14302716759984757,0.018617764732518798,0.12440940286732877,selected_faithfulness,primary_jointly_correct_true_class,true_class,architecture_primary,normalized_zero,common_14,top_minus_random_relative_target_margin_reduction_auc,UNI,DINOv2,
