cohort_name,analysis_family,target_role,model,method,perturbation,grid_label,seed,attribution_occlusion_spearman,normalized_top_minus_random_target_logit_auc,normalized_top_minus_random_target_margin_auc,top_minus_random_relative_target_logit_reduction_auc,top_minus_random_relative_target_margin_reduction_auc,top_minus_random_5_relative_target_logit_reduction,top_minus_random_10_relative_target_logit_reduction,top_minus_random_20_relative_target_logit_reduction,top_minus_random_30_relative_target_logit_reduction,top_minus_random_5_relative_target_margin_reduction,top_minus_random_10_relative_target_margin_reduction,top_minus_random_20_relative_target_margin_reduction,top_minus_random_30_relative_target_margin_reduction
selected_faithfulness,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,gaussian_blur,common_14,181,0.04308675982924237,-0.08055503495706452,0.19193871319789974,0.036534273013528816,0.11901423550378377,0.015045951927469183,0.023324487555346787,0.036932634613540176,0.08184487527448693,0.018305901384105223,0.047758528022660965,0.020086405013407357,0.2442019016599421
selected_faithfulness,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,local_mean,common_14,11,0.07624721764457762,-0.15063323397959857,-0.9660993153756752,0.06090815322633596,0.13691995645819857,0.028742417505517936,0.052189470526064,0.09783548102403465,0.14176158476161302,0.025070370721277553,-0.1612242385230369,0.10244242000509052,0.4821715470219184
selected_faithfulness,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,local_mean,common_14,89,0.06441185096238264,-0.18164656802463833,-2.448188911295243,0.07175418169891994,0.10085789030020148,0.03939161958002221,0.0795669028887518,0.12549518215852778,0.16426621039553072,-0.2137403634891783,-0.09762451598795625,0.6078179207812567,0.2316163109901261
selected_faithfulness,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,local_mean,common_14,181,0.058201338867101604,-0.15470225080797514,-1.4929728070124884,0.0665557673229676,0.19514763661517556,0.03692724725988088,0.07198644072732724,0.10663951450395005,0.15747023621979056,0.15447961467513532,0.02450867680000524,0.2926366154621798,0.49615843591818964
selected_faithfulness,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,11,0.04647600892156963,-0.1437484184090436,-1.2386530379733627,0.05499835616437477,0.23202326731496872,0.011608824016932785,0.02714699157989357,0.07659554571239388,0.13847870303135726,-0.0416946979821629,-0.1980451021719203,0.19864685005469643,0.6142911574602253
selected_faithfulness,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,89,0.04492233761437218,-0.1860440881168329,-5.6750698347281,0.06443760597414394,0.027106907252231208,0.03892951167918096,0.07120207480643014,0.08922794407369491,0.14854110253596534,-0.14436893662593633,-0.14787157931459477,0.31835120434328823,0.1729816012094126
selected_faithfulness,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_14,181,0.038570083944688076,-0.1428968124500924,-1.2896563978306022,0.05663569439735771,0.1683542883663374,0.036679251294785,0.06014091981065426,0.07319224076669441,0.13520135681643822,0.12282062479150928,0.09764192459132993,0.15550811836805467,0.4392330758244158
selected_faithfulness,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_7,11,-0.029373264098538823,-0.10839626285242948,-0.7049039378861701,0.04112933806684045,0.17399560492214677,0.016906936903155825,0.030121152297464666,0.07175206569682674,0.09428687163581198,0.06624596250970728,0.08010430009515686,0.4443270412699934,0.4752071716109407
selected_faithfulness,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_7,89,-0.021133591367581517,-0.12415231167429748,-0.5954407231908462,0.05026033745107911,0.1464276922088538,0.01687026593528502,0.04685829024721678,0.08223642526790054,0.12202149110030604,0.1521079968579036,0.13833307039991918,0.2709966895941484,0.529259311167002
selected_faithfulness,primary_jointly_correct_true_class,true_class,DINOv2,gradient_attention_rollout,normalized_zero,common_7,181,-0.03846965329024221,-0.1438696194291096,-3.0194863132568734,0.04824333563962524,0.13968001633583704,0.023064442740005027,0.044645513026714566,0.07746770467323028,0.11720275870794893,0.12953163067495646,0.19581535656353682,0.18289836958978403,0.4583898755145306
