method,target_role,class_name,correct,images,mean_spearman,mean_top_logit_auc,mean_random_logit_auc,mean_bottom_logit_auc,mean_top_minus_random_logit_auc,mean_top_minus_random_margin_auc
gradient_attention_rollout,predicted,07_ADIPOSE,True,29,0.04301441373177613,2.1952296601255137,3.1465521390068116,3.1977038744194752,-0.9513224788812984,-1.9545187475673598
gradient_attention_rollout,predicted,08_EMPTY,False,9,0.37040696794141326,0.5110089289541874,0.8568510949611663,0.9125984460115433,-0.34584216600697903,-1.742170815500948
gradient_attention_rollout,predicted,08_EMPTY,True,25,0.1820208463243268,2.21217251765728,2.3859088302254676,2.4093287660479543,-0.17373631256818775,-0.22604343838989727
gradient_attention_rollout,true,01_TUMOR,False,6,0.20496404731357598,-0.1474033492306868,0.5550968964894613,0.9140596779684227,-0.7025002457201482,-0.7664570063352585
gradient_attention_rollout,true,02_STROMA,False,8,0.12320063909984143,0.30056708506672297,0.8051139084622264,1.1253952667117118,-0.5045468233955035,-0.48137579401955016
gradient_attention_rollout,true,03_COMPLEX,False,8,0.14008737817657324,0.3616095721255988,0.9036006204783916,1.2049775756895542,-0.5419910483527929,-0.6626076634973288
gradient_attention_rollout,true,04_LYMPHO,False,9,0.20423126949595408,-0.05795056532240575,0.6286154154688119,1.0884515994124941,-0.6865659807912178,-0.6621626393662559
gradient_attention_rollout,true,05_DEBRIS,False,7,0.17170497584876537,0.09292461451675212,0.383582525487457,0.6112821947251047,-0.2906579109707049,-0.4295589642865316
gradient_attention_rollout,true,06_MUCOSA,False,3,0.2644407079504977,-1.0443251175185044,0.4549131502707799,1.4177444773415724,-1.4992382677892842,-1.8476733227570852
gradient_attention_rollout,true,07_ADIPOSE,False,5,0.15966626556909372,0.7277420511841775,0.9293205000460147,0.9357547174394132,-0.20157844886183734,-0.14867777913808816
gradient_attention_rollout,true,08_EMPTY,False,9,-0.16228425510513983,1.8553567584552286,0.4793182550412085,0.35225505627588266,1.37603850341402,1.6146988298537002
intervention_activation_patch,predicted,01_TUMOR,False,6,0.2118846528716967,1.3486364702383675,1.8341870804627736,2.2359732488791146,-0.4855506102244059,-0.6996453055491051
intervention_activation_patch,predicted,01_TUMOR,True,28,0.1905257090927251,2.668679815184857,3.1213206278426306,3.428215101999896,-0.4526408126577735,-0.5868609345118915
intervention_activation_patch,predicted,02_STROMA,False,8,0.10929486942660263,1.6083617582917213,2.0007390812039376,2.2650649696588516,-0.39237732291221616,-0.507785117905587
intervention_activation_patch,predicted,02_STROMA,True,26,0.1071991884009274,1.9129373413438981,2.4292722654457277,2.6802098469665414,-0.5163349241018296,-0.7073671552782448
intervention_activation_patch,predicted,03_COMPLEX,False,8,0.12605411302743832,1.8037383284419775,2.266259264200926,2.6918771639466286,-0.46252093575894837,-0.6972307549789549
intervention_activation_patch,predicted,03_COMPLEX,True,26,0.12707420596471672,1.7497249789535998,2.309354713559151,2.6377058922098233,-0.5596297346055509,-0.734879173997503
intervention_activation_patch,predicted,04_LYMPHO,False,9,0.1847916949369262,1.4466165867116716,1.8352196322547067,2.074161782529619,-0.38860304554303476,-0.5229920625686646
intervention_activation_patch,predicted,04_LYMPHO,True,25,0.1473429208026977,2.367169209837914,2.7039851822853085,2.927862811088562,-0.3368159724473953,-0.3885011125206947
intervention_activation_patch,predicted,05_DEBRIS,False,7,0.1851680217865593,2.1964292500700267,2.552238955242293,2.771306576473372,-0.3558097051722662,-0.5156076558466469
intervention_activation_patch,predicted,05_DEBRIS,True,27,0.05810414923369667,2.066857746795372,2.3989326442833296,2.5286594085119387,-0.3320748974879582,-0.4012080983293278
intervention_activation_patch,predicted,06_MUCOSA,False,3,0.37019909912775234,1.105579200387001,1.6464044392108919,2.178033624092738,-0.5408252388238907,-1.026731368123243
intervention_activation_patch,predicted,06_MUCOSA,True,31,0.10039321702211162,2.6772708014855464,3.4975176622790674,3.5090957376264758,-0.8202468607935213,-1.1050823225129036
intervention_activation_patch,predicted,07_ADIPOSE,False,5,0.23089931686028592,2.356603240966797,2.8415839982032773,3.0660049700737,-0.48498075723648065,-0.5610171541571616
intervention_activation_patch,predicted,07_ADIPOSE,True,29,-0.02974056452349764,2.361074189070998,3.1465521390068116,3.3687560645670724,-0.7854779499358142,-1.158828689292844
intervention_activation_patch,predicted,08_EMPTY,False,9,0.008949700746797422,0.7576639143957031,0.8568510949611663,0.8050968825817109,-0.09918718056546322,-0.29981880933046345
intervention_activation_patch,predicted,08_EMPTY,True,25,0.058170268087005435,2.18083692567423,2.3859088302254676,2.4959027418494224,-0.20507190455123783,-0.131800046250224
intervention_activation_patch,true,01_TUMOR,False,6,0.20458343318792105,-0.02887862094988421,0.5550968964894613,0.970957819869121,-0.5839755174393455,-0.7535707632700602
intervention_activation_patch,true,02_STROMA,False,8,0.03921987638392123,0.4182065467350185,0.8051139084622264,1.0722053280100226,-0.3869073617272079,-0.3977092719636858
intervention_activation_patch,true,03_COMPLEX,False,8,0.11247569090323081,0.5057448440231382,0.9036006204783916,1.2860169850289822,-0.39785577645525333,-0.4209916710853576
intervention_activation_patch,true,04_LYMPHO,False,9,0.1683087242461766,0.11699115331802104,0.6286154154688119,1.1197017333573767,-0.5116242621507909,-0.4636078036493725
intervention_activation_patch,true,05_DEBRIS,False,7,0.0300328090584904,0.24816460179697186,0.383582525487457,0.5965544169502598,-0.13541792369048514,-0.0745022373540061
