model,seed,fold,case_id,image_count,class_coverage,accuracy
UNI,151,8,CRC-Prim-HE-09,342,6,0.7953216374269005
UNI,151,9,CRC-Prim-HE-10,238,7,0.9747899159663865
UNI,181,0,CRC-Prim-HE-01,401,6,0.9775561097256857
UNI,181,1,CRC-Prim-HE-02,284,6,0.9084507042253521
UNI,181,2,CRC-Prim-HE-03,740,7,0.8162162162162162
UNI,181,3,CRC-Prim-HE-04,381,6,0.916010498687664
UNI,181,4,CRC-Prim-HE-05,661,7,0.8577912254160364
UNI,181,5,CRC-Prim-HE-06,1061,8,0.7502356267672008
UNI,181,6,CRC-Prim-HE-07,503,7,0.8489065606361829
UNI,181,7,CRC-Prim-HE-08,389,6,0.5089974293059126
UNI,181,8,CRC-Prim-HE-09,342,6,0.7923976608187134
UNI,181,9,CRC-Prim-HE-10,238,7,0.9831932773109243
