scope,model,seed,fold,image_count,class_coverage,source_group_count,accuracy,source_macro_accuracy,balanced_accuracy,macro_f1,cross_entropy_loss,test_loss
fold,UNI,41,1,284,6,1,0.8873239436619719,0.8873239436619719,0.7601100628930818,0.5521162520414616,0.26499428504670275,0.26499428504670275
fold,UNI,41,2,740,7,1,0.8,0.8,0.792128992969329,0.6975301207610245,0.7081227094022152,0.7081227094022152
fold,UNI,41,3,381,6,1,0.9133858267716536,0.9133858267716536,0.9354838709677419,0.6473683880864101,0.24676132260162983,0.24676132260162983
fold,UNI,41,4,661,7,1,0.8562783661119516,0.8562783661119516,0.8507752281647515,0.6797659227930819,0.5620715265086886,0.5620715265086886
fold,UNI,41,5,1061,8,1,0.8878416588124411,0.8878416588124411,0.9281529561322832,0.864774719628613,0.4071114054566842,0.4071114054566842
fold,UNI,41,6,503,7,1,0.852882703777336,0.852882703777336,0.830047863746527,0.6931392753717742,0.9663927564455589,0.9663927564455589
fold,UNI,41,7,389,6,1,0.5295629820051414,0.5295629820051414,0.7879465794796486,0.505427767767161,1.4864623606824103,1.4864623606824103
fold,UNI,41,8,342,6,1,0.7953216374269005,0.7953216374269005,0.8386857483207227,0.6155240075240076,0.5724860014140251,0.5724860014140251
fold,UNI,41,9,238,7,1,0.9663865546218487,0.9663865546218487,0.9461474198316304,0.835699185965798,0.1780071549472444,0.1780071549472444
aggregate_oof,UNI,57,-1,5000,8,10,0.8228,0.8335086414854098,0.8228,0.8244774586151749,0.5922879539552668,0.5922879539552668
fold,UNI,57,0,401,6,1,0.9650872817955112,0.9650872817955112,0.9571078431372548,0.7144146215285836,0.10858554239560193,0.10858554239560193
fold,UNI,57,1,284,6,1,0.9225352112676056,0.9225352112676056,0.8734827044025156,0.5915671757559047,0.2725684789282906,0.2725684789282906
fold,UNI,57,2,740,7,1,0.8040540540540541,0.8040540540540541,0.7973299922879755,0.7090217063022666,0.6251385582705725,0.6251385582705725
fold,UNI,57,3,381,6,1,0.89501312335958,0.89501312335958,0.9233870967741936,0.6390351458961644,0.2765345961175123,0.2765345961175123
fold,UNI,57,4,661,7,1,0.8426626323751891,0.8426626323751891,0.8362891308459828,0.6718304235339164,0.5686404095482093,0.5686404095482093
fold,UNI,57,5,1061,8,1,0.8030160226201697,0.8030160226201697,0.9122666480532562,0.8387639770122242,0.6524103506060727,0.6524103506060727
fold,UNI,57,6,503,7,1,0.8469184890656064,0.8469184890656064,0.8243910555687103,0.6797465999364789,0.8255187978583349,0.8255187978583349
fold,UNI,57,7,389,6,1,0.5269922879177378,0.5269922879177378,0.7765740304600408,0.4973858939655744,1.4109678354394415,1.4109678354394415
fold,UNI,57,8,342,6,1,0.7456140350877193,0.7456140350877193,0.8037905991940746,0.5772413338537639,0.629561240859328,0.629561240859328
